"SKU","CostoProm","UltimoCosto","CostoMercadoLibre"
"CUES450017NO","0","20490","20490"
"AA-1871","10690","10690","10690"
"AA-499","0","11990","11990"
"AA-498","6290","6290","6290"
"SAFRAZ151700","0","7190","7190"
"SAFRAZ201700","0","8790","8790"
"AA-1803","0","12490","12490"
"LOST30AZ17NO","0","17990","17990"
"LOST30VE17NO","0","17990","17990"
"SAPO00202001","0","8390","8390"
"SAPOLI152001","0","6990","6990"
"SAPOLI252001","9590","9590","9590"
"SAMA012017BL","0","4850","4850"
"SAMA012417BL","0","5990","5990"
"AA-1392","0","8560","8560"
"AA-1393","0","10290","10290"
"AA-1396","0","12190","12190"
"2022061521-DG","0","12529","12529"
"9999916892001","0","5000","5000"
"SG-7270","0","33397","33397"
"SG-8440","0","0","0"
"ATA3002PWH","24980","24980","24980"
"ATA3002PGY","24980","24980","24980"
"20191282-BR","0","4156","4156"
"20191282-GY","4156","4156","4156"
"20191282-OR","0","4156","4156"
"2022033003-WH","0","30314","30314"
"SG-3510C07","0","8187","8187"
"SG-4651","0","34658","34658"
"SG-3540","0","25204","25204"
"SG-4654","0","37809","37809"
"SG-4716","0","44111","44111"
"SG-3512D1","0","18901","18901"
"SG-3512D2","0","18901","18901"
"KH-1289","0","0","0"
"KH-1292","0","6500","6500"
"KH-1531","0","1400","1400"
"KH-414","0","0","0"
"KH-451","0","0","0"
"71882700741254","0","1800","1800"
"S/KH-9360511","0","2500","2500"
"KH-9360511","4500","4500","4500"
"0001D15-CEL","0","14272","14272"
"0001D15-GY","0","14272","14272"
"0001D20-BR","0","18522","18522"
"0001D20-GY","0","18522","18522"
"0001D25-BG","0","23426","23426"
"0001D25-GY","0","23426","23426"
"0001D25-GREE","0","23426","23426"
"AN-237-BR","0","15207","15207"
"AN-240-BR","0","19712","19712"
"AN-265-BR","0","25432","25432"
"AN-439-BLU","0","10515","10515"
"AN-439-PUR","0","10515","10515"
"AN-439-RED","0","10515","10515"
"AN-271-BLU","0","9432","9432"
"AN-271-BRO","0","9432","9432"
"AN-271-PUR","0","9432","9432"
"AN-271-RED","0","9342","9342"
"AN-376-BLU","0","12963","12963"
"AN-376-PUR","0","12963","12963"
"AN-376-RED","0","12963","12963"
"AN-376-GRE","0","12963","12963"
"AN-377-RED","0","16796","16796"
"AN-2014-GY","0","14290","14290"
"AN-2014-PUR","0","14290","14290"
"AN-2014-GRE","0","14290","14290"
"AN-2015-PUR","0","17250","17250"
"AN-2016-BLU","0","18650","18650"
"AN-2016-PUR","0","18650","18650"
"AN-2016-PINK","0","18650","18650"
"AN-390-FOC","14950","14950","14950"
"AN-434-FOC","0","19350","19350"
"AN-434-LGY","0","19350","19350"
"AN-434-RAZ","0","19350","19350"
"AN-1631-CEL","0","17150","17150"
"AN-1632-BLU","0","22460","22460"
"AN-1632-BRO","0","22460","22460"
"AN-1632-PUR","0","22460","22460"
"AN-1632-PIN","0","22460","22460"
"AN-1632-TUR","0","22460","22460"
"AN-1633-BLU","0","19202","19202"
"AN-1633-BRO","0","19202","19202"
"AN-1633-CEL","0","19202","19202"
"AN-1633-PUR","0","19202","19202"
"AN-1633-PIN","0","19202","19202"
"AN-1633-GREE","0","19202","19202"
"66845502323441","0","1681","1681"
"33567","0","8394","8394"
"33580","0","8394","8394"
"33420","0","2994","2994"
"36787","9995","9995","9995"
"36481","6993","6993","6993"
"28872","0","4794","4794"
"28873","0","4794","4794"
"30283","7996","7996","7996"
"26143","0","7558","7558"
"27992","0","11990","11990"
"16206","0","17990","17990"
"33472","0","3990","3990"
"31651","0","8994","8994"
"27688","0","20994","20994"
"27698","0","20994","20994"
"26789","0","3358","3358"
"22910","0","7794","7794"
"23274","0","8994","8994"
"18993","8994","8994","8994"
"35025","0","1672","1672"
"33654-BAT","2994","2994","2994"
"33654-FLA","0","2994","2994"
"33654-SUP","2994","2994","2994"
"27924-KEV","0","12597","12597"
"27924-STU","0","12597","12597"
"27565","0","7138","7138"
"27564","0","7138","7138"
"30291","0","1005","1005"
"21407","0","10194","10194"
"26780","0","10194","10194"
"26948","0","1497","1497"
"27505-AM","0","11994","11994"
"27505-AZ","0","11994","11994"
"27505-RO","0","11994","11994"
"26970","0","2994","2994"
"26752","0","1677","1677"
"31030","0","10194","10194"
"28014","0","8994","8994"
"25994","0","8994","8994"
"24276-DIN","5495","5495","5495"
"21978","0","21474","21474"
"36760","9995","9995","9995"
"33466","0","3990","3990"
"32252","0","3594","3594"
"30716","0","5394","5394"
"36753","0","3995","3995"
"33066","0","20990","20990"
"30282","0","8990","8990"
"28137","4995","4995","4995"
"26520","14990","14990","14990"
"21661","11994","11994","11994"
"27420","0","5990","5990"
"27464","0","13990","13990"
"30689","0","9990","9990"
"30772","0","9990","9990"
"5126","0","4494","4494"
"26072024","0","0","0"
"34035","0","9990","9990"
"10871","0","4613","4613"
"33209","0","7794","7794"
