"Fecha creaci��n de la orden","Nombre del producto","N�� del orden","SKU vendedor","SKU Falabella","Id Art��culo","Falabella-Id","Estado de la orden","Fecha de Entrega","Tipo de transacci��n","Fecha de transacci��n","Divisa","Monto (Sin IVA)","IVA","Monto con IVA","Tipo de comisi��n","% comisi��n","Talla","Opscore","Estado de pago","N�� estado de cuenta","Referencia de pago Fpay","Comentarios","Tipo de env��o","Proveedor log��stico","Modalidad log��stica","Seller ID","Tipo de Seller","Tipo de Documento Tributario","  N�� Documento Tributario"," Categor��a de transacciones"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Cobro por cofinanciamiento logístico","2025-12-19","CLP","-2597.0","-493.0","-3090.0","","","XS","5","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Cobro por comisión por venta","2025-12-19","CLP","-5376.0","-1022.0","-6398.0","commissionseller","0.2","","5","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Pago de aporte promocionales a cliente (Promo)","2025-12-19","CLP","0.0","0.0","0.0","","","","5","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Reversa de pago de envío comprador","2025-12-19","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Pago por precio del producto","2025-12-19","CLP","26884.0","5108.0","31992.0","","","","4","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Cobro Promo envío falabella.com","2025-12-19","CLP","-3353.0","-637.0","-3990.0","","","","4","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Pago de envío comprador","2025-12-19","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-12-17 15:36:42","Quilt Microfibra Super King Portugal","3218788186","826893","147723934","141460132","e0e6fece-b0ab-4477-bdca-2f3830c403fe","entregada","2025-12-19 10:40:34","Reembolso por Promo envío falabella.com","2025-12-19","CLP","3353.0","637.0","3990.0","","","","4","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Envío FCOM"
"2025-12-17 15:22:01","Set de Adornos Navideños de 16 Piezas","3218785606","4112025-GRWG","149661250","141456001","6ef74346-c1b8-45ed-95f0-8d41afcf4196","entregada","2025-12-19 11:21:55","Cobro por cofinanciamiento logístico","2025-12-19","CLP","-840.0","-160.0","-1000.0","","","XXXS","5","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-12-17 15:22:01","Set de Adornos Navideños de 16 Piezas","3218785606","4112025-GRWG","149661250","141456001","6ef74346-c1b8-45ed-95f0-8d41afcf4196","entregada","2025-12-19 11:21:55","Cobro por comisión por venta","2025-12-19","CLP","-2141.0","-407.0","-2548.0","commissionseller","0.17","","5","Pagado","FACL-SC459DF-20251219-CLP","20251222C10219011420632025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
