"Fecha creaci��n de la orden","Nombre del producto","N�� del orden","SKU vendedor","SKU Falabella","Id Art��culo","Falabella-Id","Estado de la orden","Fecha de Entrega","Tipo de transacci��n","Fecha de transacci��n","Divisa","Monto (Sin IVA)","IVA","Monto con IVA","Tipo de comisi��n","% comisi��n","Talla","Opscore","Estado de pago","N�� estado de cuenta","Referencia de pago Fpay","Comentarios","Tipo de env��o","Proveedor log��stico","Modalidad log��stica","Seller ID","Tipo de Seller","Tipo de Documento Tributario","  N�� Documento Tributario"," Categor��a de transacciones"
"","","","","","","414e5fc1-0fde-4288-95ca-61ee72445945","","","Cobro por Productos patrocinados","2025-12-01","CLP","-2924.0","-555.0","-3479.0","","","","","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","","","","SC459DF","Principal","Facturas","408928","Publicidad"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Cobro por cofinanciamiento logístico","2025-12-01","CLP","-3101.0","-589.0","-3690.0","","","XS","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Cofinanciamiento Logistico"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Cobro por comisión por venta","2025-12-01","CLP","-3091.0","-587.0","-3678.0","commissionseller","0.16","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Comisiones"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Pago por oportunidad única","2025-12-01","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Oportunidad Única CMR"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Pago de aporte promocionales a cliente (Promo)","2025-12-01","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Cupones/Promociones"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Reversa de pago de envío comprador","2025-12-01","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","A cargo de cliente"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Cobro Promo envío falabella.com","2025-12-01","CLP","-3353.0","-637.0","-3990.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Facturas","408928","Envío FCOM"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Pago de envío comprador","2025-12-01","CLP","0.0","0.0","0.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","A cargo de cliente"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Pago por precio del producto","2025-12-01","CLP","19319.0","3671.0","22990.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","n/a","n/a","Pesos"
"2025-11-28 07:49:36","Set Bloques Magnéticos Circuito de Canícas con Luz 75 Piezas","3214493529","2022061509-MC","113151404","134232666","94caecde-287a-4ea9-afc0-c816adbd7792","entregada","2025-12-01 11:53:01","Reembolso por Promo envío falabella.com","2025-12-01","CLP","3353.0","637.0","3990.0","","","","4","Pagado","FACL-SC459DF-20251201-CLP","20251202C10219010623282025","Programado para procesamiento","drop_shipping","blueexpress","FBS","SC459DF","Principal","Notas de credito","333550","Envío FCOM"
