orderId,fecha,sku,cantidad,precioVenta,comision,envio
ML-CMP-001,2026-08-22,2023021901-PU,1,33510,4524,2990
ML-CMP-002,2026-08-21,2023021901-PU,1,31500,4252,2990
ML-CMP-003,2026-08-20,MAPASAI18,1,32360,4369,2990
ML-CMP-004,2026-08-19,MAPASAI18,1,30420,4107,2990
ML-CMP-005,2026-08-18,20201049-WH,1,24560,3316,2990
ML-CMP-006,2026-08-17,20201049-WH,1,23080,3116,2990
ML-CMP-007,2026-08-16,2023021901-PI,1,33530,4527,2990
ML-CMP-008,2026-08-15,2023021901-PI,1,31520,4255,2990
ML-CMP-009,2026-08-14,2022061509-MC,1,25270,3411,2990
ML-CMP-010,2026-08-13,2022061509-MC,1,23760,3208,2990
ML-CMP-011,2026-08-12,20191282-BR,1,11470,1548,1990
ML-CMP-012,2026-08-11,20191282-BR,1,10780,1455,1990
ML-CMP-013,2026-08-10,824867,1,37920,5119,2990
ML-CMP-014,2026-08-09,824867,1,35650,4813,2990
ML-CMP-015,2026-08-08,20191282-GY,1,12200,1647,1990
ML-CMP-016,2026-08-07,20191282-GY,1,11470,1548,1990
